A001;INSERT;--DAGING RAWON;E002;1
A002;INSERT;--GARANG ASEM;E003;1
A003;INSERT;--AYAM RICE BOWL;E004;1
A004;INSERT;--AYAM RICE BOWL;E004;1
A005;INSERT;--AYAM RICE BOWL;E004;1
A006;INSERT;--AYAM RICE BOWL;E004;1
A009;INSERT;--SEDANI SPAGHETTI;E001;1
A010;INSERT;--AYAM ALFREDO;E005;1
A010;INSERT;--DIAMOND - SUSU UHT FULL CREAM;D010;150
A010;INSERT;--SEDANI SPAGHETTI;E001;1
A014;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
A018;INSERT;--KATSU BESAR;E012;1
A026;INSERT;--FISH BAKAL;E007;1
A028;INSERT;--AYAM SENDWICH;E008;1
A028;INSERT;--SMOKE BEEF;E009;1
A028;INSERT;--FRENCH FRIES;A013;0,5
A030;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
A031;INSERT;--MANTAO PLAIN MINI (HORECA) (WEIWANG);D034;5
A032;INSERT;--PATTY;E010;1
A032;INSERT;--MANTAO PLAIN MINI (HORECA) (WEIWANG);D034;5
A033;INSERT;--FISH BAKAL;E007;1
A033;INSERT;--MANTAO PLAIN MINI (HORECA) (WEIWANG);D034;5
A034;INSERT;--KATSU BESAR;E012;1
A035;INSERT;--AYAM GORENG;E013;1
A036;INSERT;--AYAM JAMUR;E014;1
A037;INSERT;--CUMI MATANG;E015;1
A038;INSERT;--KIDS KATSU;E016;1
A038;INSERT;--BERNARDI SOSIS SAPI COCKTAIL;D027;1
A039;INSERT;--KIDS KARAGE;E017;1
A039;INSERT;--BERNARDI SOSIS SAPI COCKTAIL;D027;1
A082;INSERT;--SMOKE CHIKEN;E006;1
A083;INSERT;--AYAM GORENG;E013;1
A086;INSERT;--INDOMIE GORENG;A146;1
A087;INSERT;--INDOMIE GORENG;A146;1
A109;INSERT;--AYAM GORENG;E013;1
A119;INSERT;--FISH BAKAL;E007;1
A120;INSERT;--IKAN NILA;E019;1
A131;INSERT;--AYAM RICE BOWL;E004;0,4
A132;INSERT;--AYAM BAKAR;E021;1
A133;INSERT;--AYAM CINCANG;E020;1
A134;INSERT;--BERNARDI SOSIS SAPI COCKTAIL;D027;2
A156;INSERT;--AYAM RICE BOWL;E004;1
A160;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
A166;INSERT;--AYAM RICE BOWL;E004;1
A167;INSERT;--MANTAO PLAIN MINI (HORECA) (WEIWANG);D034;5
A168;INSERT;--SEDANI SPAGHETTI;E001;1
A168;INSERT;--KIDS KATSU;E016;1
A169;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
A170;INSERT;--KATSU BESAR;E012;1
A171;INSERT;--SEDANI SPAGHETTI;E001;1
